km,Engine Displacement,Max Power,No of Cylinder,Mileage,price (lakh),Insurance_Encoded,modelyear_Encoded,owner_Encoded,cylinder_Encoded,oem_Encoded,bt_Encoded,model_Encoded,variantName_Encoded,engine_Encoded,city_Encoded,color_Encoded,seats_Encoded,streeingtype_Encoded,drivetype_Encoded,ft_Encoded,transmission_Encoded,Length,Width,Wheel Base,Cargo Volumn
63000,1598,103.2,4.0,16.09,6.75,2.0,20.0,4.0,3,31,8,305,385,332,1,8,3,4,6,4,1,4390,1699,2553,494
88000,1198,73.75,3.0,17.0,5.1,1.0,22.0,3.0,2,31,8,296,117,332,1,119,3,4,6,4,1,3995,1682,2470,330
65000,1497,117.6,4.0,17.4,8.3,2.0,22.0,4.0,3,8,8,63,2116,469,1,102,3,4,6,4,1,4440,1695,2600,510
30000,2179,187.7,4.0,12.51,39.0,1.0,22.0,3.0,3,14,7,111,1530,357,1,98,5,4,1,1,0,4600,2173,2741,280
71423,1497,116.3,4.0,15.6,5.1,2.0,17.0,4.0,3,8,8,63,1743,365,1,46,3,4,6,4,0,4440,1695,2550,506
80000,1462,103.2,4.0,17.99,12.0,1.0,24.0,4.0,3,20,4,186,832,305,1,78,4,4,6,4,0,4445,1775,2740,209
85759,1497,117.3,4.0,17.8,7.66,1.0,22.0,4.0,3,8,8,63,2099,469,1,14,3,4,6,4,1,4440,1695,2600,510
24422,1086,68.0,4.0,20.3,4.49,3.0,24.0,4.0,3,9,2,81,1101,30,1,102,3,4,6,4,1,3610,1645,2400,235
90000,1591,121.3,4.0,17.0,7.5,1.0,22.0,1.0,3,9,8,86,1785,450,1,119,3,4,6,4,1,4440,1729,2600,480
67091,1198,86.8,4.0,19.4,3.17,1.0,17.0,3.0,3,8,2,61,1754,475,1,98,3,4,6,4,1,3610,1680,2345,175
72787,1451,141.0,4.0,15.81,15.6,1.0,25.0,4.0,3,16,7,122,1215,278,1,60,3,4,6,4,1,4655,1835,2750,587
120000,2198,157.7,4.0,13.5,19.0,1.0,22.0,3.0,3,6,7,51,535,236,1,78,5,4,1,1,1,4892,1860,2850,418
90142,1197,81.86,4.0,18.9,5.22,2.0,22.0,4.0,3,9,2,77,106,320,1,98,3,4,6,4,1,3765,1660,2425,256
150000,1197,81.83,4.0,18.6,5.0,1.0,20.0,4.0,3,9,2,90,851,320,1,78,3,4,6,4,1,3985,1734,2570,295
33256,1194,94.68,3.0,19.0,6.27,2.0,23.0,4.0,2,6,2,55,1718,50,1,98,3,4,6,4,1,3954,1737,2490,257
70027,1197,83.1,4.0,21.4,6.87,2.0,23.0,4.0,3,20,2,157,82,455,1,102,3,4,6,4,0,3995,1745,2520,339
120000,1991,142.0,4.0,13.6,2.05,1.0,12.0,2.0,3,9,8,83,522,278,1,119,3,4,6,1,1,4800,1832,2730,560
60000,1199,74.0,3.0,16.2,5.25,1.0,20.0,3.0,2,31,2,300,113,332,1,78,3,4,6,4,1,3971,1682,2469,280
73686,1248,74.0,4.0,25.2,6.2,1.0,22.0,4.0,3,20,2,179,1765,220,1,50,3,4,6,1,1,3840,1735,2450,204
44000,1493,100.0,3.0,18.49,8.25,2.0,23.0,3.0,2,17,7,142,1695,492,1,98,5,4,8,1,1,3995,1835,2680,384
75581,1197,81.8,4.0,21.21,5.3,2.0,20.0,4.0,3,20,2,179,1806,449,1,119,3,1,6,4,1,3840,1735,2450,268
58000,2143,203.2,4.0,15.26,36.0,2.0,20.0,4.0,3,21,7,210,1327,236,1,9,3,4,4,1,0,4817,2141,2915,690
50000,1968,143.0,4.0,20.38,19.5,2.0,20.0,3.0,3,0,8,1,695,382,1,89,3,4,6,1,0,4456,1960,2637,425
100000,1493,100.0,3.0,18.49,6.5,1.0,20.0,4.0,2,17,7,142,1695,492,1,78,5,4,8,1,1,3995,1835,2680,384
108902,1248,88.5,4.0,28.09,6.5,1.0,22.0,4.0,3,20,8,163,195,213,1,119,3,4,6,1,1,4490,1730,2650,510
100425,1498,108.62,4.0,21.66,5.7,2.0,21.0,4.0,3,31,8,296,328,381,1,102,3,4,6,1,1,3995,1682,2470,330
70887,1197,82.0,4.0,19.1,4.58,1.0,21.0,3.0,3,9,8,87,103,320,1,102,3,4,6,4,1,3995,1660,2425,407
